lesson,utterance,teacher_file,student_file,dtw_distance,teacher_length,student_length
01,00,20250404_222900_session_20250224_170735_Lesson01_Pete_Teacher_utterance00_processed_processed_features.npz,20250404_222728_session_20250304_170215_Lesson01_Pete_Student01_utterance00_processed_processed_features.npz,72123.80,231,229
01,03,20250404_222735_session_20250224_172209_Lesson01_Anna_Teacher_utterance03_processed_processed_features.npz,20250404_222753_session_20250304_125010_Lesson01_Anna_Student01_utterance03_processed_processed_features.npz,39051.67,251,277
01,02,20250404_222740_session_20250304_125010_Lesson01_Pete_Teacher_utterance02_processed_processed_features.npz,20250404_222851_session_20250227_184820_Lesson01_Pete_Student01_utterance02_processed_processed_features.npz,17267.13,101,157
01,04,20250404_222532_session_20250304_125325_Lesson01_Anna_Teacher_utterance04_processed_processed_features.npz,20250404_222904_session_20250224_170735_Lesson01_Pete_Student01_utterance04_processed_processed_features.npz,937526.42,938,991
02,00,20250404_222721_session_20250304_131109_Lesson02_Jonathan_Teacher_utterance00_processed_processed_features.npz,20250404_222752_session_20250304_170215_Lesson02_Jonathan_Student01_utterance00_processed_processed_features.npz,206065.23,241,349
02,01,20250404_222906_session_20250304_131109_Lesson02_Anna_Teacher_utterance01_processed_processed_features.npz,20250404_222709_session_20250304_130209_Lesson02_Jonathan_Student01_utterance01_processed_processed_features.npz,31735.47,67,193
02,02,20250404_222815_session_20250304_131109_Lesson02_Anna_Teacher_utterance02_processed_processed_features.npz,20250404_222741_session_20250304_130209_Lesson02_Pete_Student01_utterance02_processed_processed_features.npz,78811.55,427,265
01,01,20250404_222909_session_20250224_165816_Lesson01_Pete_Teacher_utterance01_processed_processed_features.npz,session_20250224_165816_Lesson01_Pete_Student01_utterance01_processed_features.npz,47396.19,101,153
01,05,20250404_222706_session_20250224_164723_Lesson01_Anna_Teacher_utterance05_processed_processed_features.npz,20250404_222825_session_20250227_132105_Lesson01_Anna_Student01_utterance05_processed_processed_features.npz,25970.65,201,247
02,05,20250404_222836_session_20250304_131109_Lesson02_Anna_Teacher_utterance05_processed_processed_features.npz,20250404_222744_session_20250304_130209_Lesson02_Jonathan_Student01_utterance05_processed_processed_features.npz,62196.81,267,211
02,04,20250404_222852_session_20250304_130209_Lesson02_Pete_Teacher_utterance04_processed_processed_features.npz,20250404_222705_session_20250304_170215_Lesson02_Jonathan_Student01_utterance04_processed_processed_features.npz,204493.29,263,319
02,03,20250404_222828_session_20250304_130209_Lesson02_Pete_Teacher_utterance03_processed_processed_features.npz,20250404_222844_session_20250304_131109_Lesson02_Jonathan_Student01_utterance03_processed_processed_features.npz,79477.93,325,367 